card,opponent,times_drawn,times_played,times_discarded,play_rate,avg_turns_held,median_turns_held,win_association
Gub,random,79947,79672,0,0.9966,0.05,0.00,0.8043
Mushroom,random,22435,13658,146,0.6088,7.29,4.00,0.7953
Lure,random,29348,26025,14,0.8868,1.69,0.00,0.8060
Toad Rider,random,16838,10686,239,0.6346,6.31,4.00,0.7866
Double Ring,random,5093,1913,126,0.3756,7.48,5.00,0.7938
Sud Spout,random,15346,6491,217,0.4230,7.75,5.00,0.7900
Haki Flute,random,9934,5616,149,0.5653,5.86,3.00,0.8096
Single Ring,random,5080,1928,133,0.3795,7.83,6.00,0.7955
Spear,random,16091,10883,130,0.6763,4.66,2.00,0.7962
Velvet Moth,random,9777,5188,285,0.5306,7.66,6.00,0.7854
Cricket Song,random,4552,4547,0,0.9989,0.13,0.00,0.8238
Blind Fold,random,5331,2911,69,0.5461,5.41,4.00,0.8094
Feather,random,10115,7113,67,0.7032,4.07,3.00,0.7994
Flop Boat,random,4775,3571,11,0.7479,3.95,3.00,0.7927
Retreat,random,5052,936,205,0.1853,9.11,7.00,0.7943
Triple Ring,random,5124,1715,123,0.3347,8.29,6.00,0.8009
Smahl Thief,random,4572,4302,5,0.9409,0.86,0.00,0.8071
Age Old Cure,random,9269,8241,66,0.8891,2.89,0.00,0.8040
Super Lure,random,9232,7249,44,0.7852,4.28,2.00,0.8466
Omen Beetle,random,5294,1870,151,0.3532,7.33,5.00,0.7937
Scout,random,5102,103,239,0.0202,10.62,9.00,0.7905
Lightning,random,4848,1474,239,0.3040,9.06,7.00,0.8065
Cyclone,random,5449,2826,124,0.5186,6.47,5.00,0.8007
Esteemed Elder,random,4658,4635,0,0.9951,0.08,0.00,0.8809
Lure,greedy,25766,23468,6,0.9108,1.10,0.00,0.5992
Gub,greedy,67563,67178,0,0.9943,0.04,0.00,0.5859
Retreat,greedy,4061,1092,41,0.2689,7.03,5.00,0.5701
Double Ring,greedy,4363,2428,21,0.5565,4.75,3.00,0.6021
Lightning,greedy,4158,1557,47,0.3745,7.04,5.00,0.5859
Haki Flute,greedy,8664,5384,33,0.6214,4.31,2.00,0.5980
Age Old Cure,greedy,7850,6937,15,0.8837,2.31,0.00,0.5834
Blind Fold,greedy,4429,2695,14,0.6085,3.65,3.00,0.5999
Super Lure,greedy,7831,6741,2,0.8608,2.27,1.00,0.6832
Mushroom,greedy,20181,11427,16,0.5662,5.91,4.00,0.5737
Triple Ring,greedy,4410,2130,17,0.4830,5.41,4.00,0.5766
Scout,greedy,4318,74,48,0.0171,8.74,7.00,0.5551
Spear,greedy,14479,11087,16,0.7657,2.91,1.00,0.5734
Sud Spout,greedy,14397,8692,43,0.6037,4.54,2.00,0.5662
Single Ring,greedy,4217,2302,11,0.5459,4.71,3.00,0.5732
Feather,greedy,8488,5997,11,0.7065,3.18,2.00,0.5716
Toad Rider,greedy,14784,9339,48,0.6317,4.93,3.00,0.5685
Flop Boat,greedy,3934,2813,5,0.7150,3.31,2.00,0.5552
Smahl Thief,greedy,4086,3913,0,0.9577,0.48,0.00,0.5928
Velvet Moth,greedy,8362,3924,60,0.4693,6.63,5.00,0.5694
Omen Beetle,greedy,4382,2360,27,0.5386,4.63,3.00,0.5744
Cyclone,greedy,4804,3047,21,0.6343,4.68,3.00,0.5666
Esteemed Elder,greedy,3942,3902,0,0.9899,0.07,0.00,0.6837
Cricket Song,greedy,4012,4010,0,0.9995,0.05,0.00,0.6386
