opponent,outcome,turn,mean_score,n
greedy,loss,0,1.000,4148
greedy,loss,5,1.646,4148
greedy,loss,10,1.874,4148
greedy,loss,15,2.179,4148
greedy,loss,20,2.138,4148
greedy,loss,24,1.000,2
greedy,loss,25,1.911,4198
greedy,loss,26,1.479,194
greedy,loss,27,1.544,469
greedy,loss,28,1.482,699
greedy,loss,29,1.409,785
greedy,loss,30,1.572,2634
greedy,loss,31,1.464,483
greedy,loss,32,1.488,332
greedy,loss,33,1.521,163
greedy,loss,34,1.667,84
greedy,loss,35,1.698,252
greedy,loss,36,1.694,36
greedy,loss,37,1.520,25
greedy,loss,38,1.897,29
greedy,loss,39,2.593,27
greedy,loss,40,1.950,40
greedy,loss,41,1.333,6
greedy,loss,42,2.333,3
greedy,loss,43,3.667,3
greedy,loss,44,1.500,2
greedy,win,0,1.000,5852
greedy,win,5,1.666,5852
greedy,win,10,1.946,5852
greedy,win,15,2.407,5852
greedy,win,20,2.839,5852
greedy,win,24,6.375,8
greedy,win,25,3.635,5942
greedy,win,26,5.597,370
greedy,win,27,5.263,739
greedy,win,28,4.967,990
greedy,win,29,5.036,1106
greedy,win,30,4.530,3414
greedy,win,31,5.016,684
greedy,win,32,5.128,406
greedy,win,33,5.071,225
greedy,win,34,5.280,93
greedy,win,35,5.185,336
greedy,win,36,5.944,54
greedy,win,37,6.200,40
greedy,win,38,6.231,26
greedy,win,39,6.591,22
greedy,win,40,5.276,58
greedy,win,41,6.727,11
greedy,win,42,4.750,4
greedy,win,43,5.625,8
greedy,win,44,7.000,1
greedy,win,45,6.500,4
random,loss,0,1.000,1990
random,loss,5,1.960,1990
random,loss,10,2.298,1990
random,loss,15,2.727,1990
random,loss,20,3.009,1990
random,loss,25,3.074,1990
random,loss,27,0.000,1
random,loss,29,1.000,3
random,loss,30,2.805,2012
random,loss,31,2.000,55
random,loss,32,1.632,106
random,loss,33,1.675,166
random,loss,34,1.548,177
random,loss,35,2.143,1726
random,loss,36,1.546,240
random,loss,37,1.394,213
random,loss,38,1.445,200
random,loss,39,1.289,166
random,loss,40,1.944,480
random,loss,41,1.365,74
random,loss,42,1.220,50
random,loss,43,1.366,41
random,loss,44,1.524,21
random,loss,45,2.341,82
random,loss,46,2.300,10
random,loss,47,1.692,13
random,loss,48,1.286,7
random,loss,49,1.455,11
random,loss,50,2.000,18
random,loss,51,3.000,3
random,loss,52,3.500,2
random,loss,54,2.000,1
random,loss,55,3.000,2
random,loss,56,5.000,1
random,loss,60,4.000,1
random,loss,61,5.000,1
random,win,0,1.000,8010
random,win,5,1.946,8010
random,win,10,2.328,8010
random,win,15,2.773,8010
random,win,20,3.198,8010
random,win,25,3.492,8010
random,win,28,8.000,1
random,win,29,5.368,19
random,win,30,4.077,8062
random,win,31,5.636,195
random,win,32,5.694,359
random,win,33,5.537,551
random,win,34,5.282,824
random,win,35,4.789,6933
random,win,36,5.347,988
random,win,37,5.465,923
random,win,38,5.510,811
random,win,39,5.583,626
random,win,40,5.199,2145
random,win,41,5.802,394
random,win,42,5.729,210
random,win,43,5.595,210
random,win,44,6.183,115
random,win,45,5.464,412
random,win,46,5.391,64
random,win,47,6.333,42
random,win,48,7.054,37
random,win,49,7.158,19
random,win,50,5.532,79
random,win,51,6.611,18
random,win,52,5.167,12
random,win,53,7.000,8
random,win,54,3.400,5
random,win,55,6.400,15
random,win,56,8.000,4
random,win,58,7.000,1
