episode,steps,reward,loss,entropy,win_vs_random,win_vs_greedy
10000,1154896,5.4867,0.0343,0.1227,0.7000,0.4600
20000,2275313,6.5033,0.6300,0.1067,0.7000,0.5100
30000,3402062,6.3933,0.1245,0.1709,0.7000,0.5300
40000,4527232,6.9400,0.0516,0.0792,0.6800,0.4800
50000,5653305,6.6700,0.0867,0.1464,0.7200,0.4600
60000,6779567,6.7833,0.1335,0.1340,0.7200,0.5400
70000,7909134,7.0933,0.0491,0.2121,0.7600,0.5400
80000,9049319,6.7767,0.2465,0.0887,0.7800,0.5600
90000,10180303,6.9500,0.0844,0.2088,0.7100,0.5600
100000,11316347,7.0633,0.2878,0.1408,0.8000,0.5300
110000,12446091,6.9233,0.1532,0.1004,0.6800,0.5300
120000,13566951,7.1900,0.1365,0.0685,0.7400,0.5800
130000,14691442,7.4600,0.3191,0.1501,0.7600,0.4900
140000,15819825,7.2733,0.1356,0.1093,0.7200,0.5700
150000,16965755,7.0100,0.0685,0.0949,0.8500,0.6000
160000,18101156,6.9267,0.2982,0.1671,0.7700,0.5500
170000,19241887,6.7000,0.1134,0.2193,0.7300,0.5700
180000,20377602,7.2933,0.0965,0.1614,0.7400,0.5600
190000,21515627,6.8267,0.0558,0.0746,0.7200,0.5900
200000,22646252,7.2367,0.1220,0.1213,0.6900,0.5800
210000,23778790,7.1233,0.3544,0.1326,0.6500,0.6100
220000,24906432,7.4900,0.1130,0.1482,0.7600,0.5500
230000,26034819,7.4067,0.2757,0.0854,0.7600,0.5800
240000,27168485,7.2100,0.2799,0.0857,0.7500,0.5400
250000,28308159,7.2033,0.0365,0.1255,0.7700,0.5600
260000,29438967,7.0167,0.3097,0.1521,0.7200,0.6100
270000,30563326,7.2067,0.4373,0.1610,0.7200,0.5700
280000,31692160,7.1367,0.1376,0.1431,0.8100,0.5200
290000,32832170,7.3500,0.1971,0.1746,0.7400,0.5200
300000,33966229,7.5067,0.0587,0.1454,0.8100,0.5400
310000,35098587,7.4300,0.1298,0.1643,0.6900,0.5500
320000,36234112,7.7300,0.2395,0.1046,0.7500,0.5300
330000,37378886,7.6667,0.2029,0.1818,0.7800,0.5600
340000,38516919,7.5933,0.1067,0.1617,0.7500,0.5800
350000,39658768,7.2667,0.4194,0.1230,0.7700,0.5800
360000,40796472,7.6167,0.0189,0.1604,0.8100,0.5500
370000,41942164,7.1767,0.1137,0.1574,0.7100,0.5600
380000,43085225,7.3467,0.1150,0.1543,0.8000,0.5500
390000,44217141,7.1033,0.1301,0.1158,0.7700,0.5600
400000,45348633,7.0500,0.2378,0.1411,0.7600,0.5200
410000,46484713,7.5533,0.0771,0.1257,0.7300,0.5500
420000,47621806,7.4767,0.2584,0.2172,0.6400,0.6200
430000,48761762,7.5400,0.2793,0.0938,0.8400,0.5400
440000,49902899,7.5333,0.1134,0.1328,0.7900,0.5400
450000,51040523,7.2300,0.2096,0.1684,0.7600,0.5000
460000,52167215,7.5000,0.1262,0.1719,0.7000,0.4900
470000,53298967,7.4867,0.1092,0.1288,0.7800,0.5100
480000,54428941,7.2567,0.1316,0.1594,0.7800,0.5200
490000,55572035,7.5167,0.1190,0.2067,0.7900,0.5900
500000,56707775,7.0467,0.0890,0.1229,0.8600,0.5900
510000,57847997,7.4900,0.2013,0.1686,0.8000,0.5200
520000,58986126,7.5900,0.2139,0.1052,0.7800,0.5700
530000,60118382,7.4033,0.1358,0.1558,0.8500,0.4900
540000,61261425,7.4167,0.2053,0.1407,0.7900,0.6000
550000,62402018,7.5467,0.1874,0.1321,0.7800,0.5600
560000,63545931,7.3900,0.2526,0.1794,0.7300,0.5800
570000,64691483,7.2600,0.1488,0.1568,0.8100,0.5800
580000,65836031,7.4433,0.1188,0.1309,0.8200,0.5700
590000,66985352,7.3900,0.5535,0.1710,0.7000,0.5800
600000,68130177,7.6833,0.1242,0.1645,0.7200,0.5400
610000,69263981,7.5567,0.1609,0.2312,0.7900,0.5500
620000,70396254,7.4867,0.4552,0.0941,0.7700,0.5000
630000,71537324,7.4067,0.2027,0.0761,0.7700,0.5900
640000,72673075,7.6267,0.5527,0.1301,0.7800,0.5300
650000,73808680,7.2233,0.0474,0.1591,0.7900,0.6000
660000,74952337,7.3367,0.1671,0.1375,0.7600,0.5900
670000,76094374,7.7467,0.7273,0.1248,0.7300,0.5400
680000,77234653,7.9200,0.0553,0.2227,0.7300,0.5400
690000,78374438,7.4733,0.3437,0.1673,0.7400,0.6200
700000,79510618,7.2967,0.1110,0.1703,0.7600,0.6300
710000,80649708,7.3233,0.1266,0.1832,0.7200,0.5200
720000,81783096,7.5367,0.1462,0.1277,0.7600,0.5700
730000,82920575,7.4467,0.1453,0.2365,0.7100,0.5500
740000,84066522,7.8167,0.2146,0.1782,0.7500,0.5400
750000,85208917,7.3033,0.0845,0.1153,0.7400,0.5400
760000,86349684,7.5133,0.1457,0.1365,0.7900,0.5600
770000,87486455,7.4000,0.2621,0.1209,0.7300,0.5000
780000,88622812,7.9067,0.5721,0.1350,0.7100,0.5000
790000,89767128,7.3300,0.1016,0.1946,0.7000,0.6000
800000,90910485,7.5467,0.0977,0.1556,0.7800,0.5400
810000,92047178,8.0367,0.0691,0.2080,0.7400,0.5300
820000,93177486,7.5700,0.1314,0.1320,0.7000,0.5500
830000,94319872,7.6100,0.2234,0.2807,0.7400,0.6100
840000,95459698,7.4333,0.0993,0.1522,0.7400,0.6100
850000,96601765,7.6533,0.2414,0.1259,0.8000,0.6300
860000,97742628,7.6900,0.0385,0.2366,0.7400,0.5900
870000,98878880,7.4500,0.0668,0.1582,0.7500,0.5900
880000,100014656,7.2367,0.1036,0.2380,0.7600,0.6100
890000,101159175,7.6900,0.2068,0.2404,0.7600,0.6100
900000,102305107,7.6133,0.1550,0.1678,0.7700,0.5700
910000,103443112,7.6733,0.4811,0.2305,0.7300,0.5400
920000,104582766,7.0100,0.0593,0.1672,0.7200,0.5400
930000,105719706,7.5167,0.0956,0.3314,0.7000,0.5300
940000,106857203,7.5300,0.0739,0.1679,0.7500,0.5500
950000,107998970,7.6100,0.1818,0.2335,0.7400,0.6000
960000,109137306,7.2300,0.2417,0.1315,0.7900,0.5600
970000,110273931,7.6967,0.1212,0.2081,0.7300,0.5900
980000,111410976,7.9067,0.2073,0.2333,0.7600,0.6100
990000,112550648,7.4667,0.1547,0.1412,0.8000,0.5800
